2024-06-26T00:25:47.121+05:30  INFO 3224 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T18:12:27.904+05:30  INFO 9340 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@48614fb3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4eb3b690, org.springframework.security.web.context.SecurityContextHolderFilter@13d1653, org.springframework.security.web.header.HeaderWriterFilter@29811d4d, org.springframework.web.filter.CorsFilter@1d01fa0c, org.springframework.security.web.authentication.logout.LogoutFilter@3ef4a8fb, com.tuskers.backend.jwt.configuration.JwtAuthenticationFilter@52a2e2fb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23e1f610, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@193c810, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@44bd7f24, org.springframework.security.web.session.SessionManagementFilter@20a2930f, org.springframework.security.web.access.ExceptionTranslationFilter@6ce24203, org.springframework.security.web.access.intercept.AuthorizationFilter@1b0fc8b]
2024-06-26T18:12:28.163+05:30  INFO 9340 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2024-06-26T18:12:28.179+05:30  INFO 9340 --- [main] com.tuskers.backend.BackendApplication   : Started BackendApplication in 8.201 seconds (process running for 9.018)
2024-06-26T18:13:08.219+05:30  INFO 9340 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-26T18:13:08.219+05:30  INFO 9340 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-06-26T18:13:08.227+05:30  INFO 9340 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2024-06-26T18:13:08.284+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:13:08.292+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:13:08.292+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:13:08.422+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:13:08.422+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:13:08.909+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T18:13:08.920+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T18:13:08.920+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T18:13:08.920+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T18:13:08.928+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:13:08.963+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
2024-06-26T18:13:08.979+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T18:13:39.178+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:13:39.180+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA1Nzg4LCJleHAiOjE3MTk0MTI5ODh9.vuKG-azpG1Z_ElUS_aexpBwXPd1CqUvsbr1Z-8KOcHc
2024-06-26T18:13:39.180+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:13:39.180+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:13:39.180+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:13:39.182+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:13:39.217+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:13:39.217+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:13:39.256+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.AuthenticationController       : Logout endpoint
2024-06-26T18:13:39.266+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.AuthenticationController       : Cookie cleared
2024-06-26T18:13:40.410+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:13:40.410+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:13:40.410+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:16:22.381+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:16:22.381+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:16:22.381+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:16:22.381+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:16:22.381+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:16:22.477+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
2024-06-26T18:16:22.497+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T18:16:29.242+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:16:29.243+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA1OTgyLCJleHAiOjE3MTk0MTMxODJ9._01fO0fk8B5_-aEnTtRCFsSQOfkaJA2iaLoYjJZrI0Q
2024-06-26T18:16:29.243+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:16:29.243+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:16:29.243+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:16:29.243+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:16:29.244+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:16:29.244+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:16:29.252+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:16:29.252+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:16:29.252+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:16:29.252+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:16:29.257+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:16:29.257+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:16:29.257+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.AuthenticationController       : Logout endpoint
2024-06-26T18:16:29.257+05:30  INFO 9340 --- [http-nio-8080-exec-2] c.t.b.j.c.AuthenticationController       : Cookie cleared
2024-06-26T18:18:52.095+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:18:52.095+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:18:52.095+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:18:52.095+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:18:52.108+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:18:52.206+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T18:18:52.212+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T18:18:52.214+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T18:18:52.214+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T18:18:52.214+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:18:52.214+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
2024-06-26T18:18:52.214+05:30  INFO 9340 --- [http-nio-8080-exec-5] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T18:19:00.819+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:19:00.819+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA2MTMyLCJleHAiOjE3MTk0MTMzMzJ9.0PU_1xLMuQXnkLlTVJ_qre1LnT4h6rtMJG4a8pPAw64
2024-06-26T18:19:00.820+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:19:00.820+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:19:00.820+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:19:00.820+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:19:00.822+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:19:00.824+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:19:00.824+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:19:00.824+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:19:00.824+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:19:00.824+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:19:00.830+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:19:00.830+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:19:00.832+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.AuthenticationController       : Logout endpoint
2024-06-26T18:19:00.832+05:30  INFO 9340 --- [http-nio-8080-exec-8] c.t.b.j.c.AuthenticationController       : Cookie cleared
2024-06-26T18:48:56.124+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:48:56.131+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:48:56.131+05:30  INFO 9340 --- [http-nio-8080-exec-10] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:49:51.612+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:49:51.612+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:49:51.612+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:49:51.639+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:49:51.639+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:49:51.778+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T18:49:51.778+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T18:49:51.778+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T18:49:51.778+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T18:49:51.783+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:49:51.798+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
2024-06-26T18:49:51.798+05:30  INFO 9340 --- [http-nio-8080-exec-4] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to map User to AuthenticationResponse class
2024-06-26T18:49:57.656+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:49:57.661+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJha2Fyc2h0a25AZ21haWwuY29tIiwiaWF0IjoxNzE5NDA3OTkxLCJleHAiOjE3MTk0MTUxOTF9.Czn3O_9MqqZWrngua6JPC7xBMT-oGsoee1hMhFn-eDE
2024-06-26T18:49:57.661+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract username from token
2024-06-26T18:49:57.661+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:49:57.661+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:49:57.661+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:49:57.669+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Extracted username : akarshtkn@gmail.com
2024-06-26T18:49:57.669+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to extract user details from username
2024-06-26T18:49:57.674+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to check expiration of token
2024-06-26T18:49:57.676+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract claim
2024-06-26T18:49:57.676+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to extract all claims
2024-06-26T18:49:57.676+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:49:57.681+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.s.Implementation.JwtServiceImpl  : Token expired : false
2024-06-26T18:49:57.681+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:49:57.681+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.AuthenticationController       : Logout endpoint
2024-06-26T18:49:57.681+05:30  INFO 9340 --- [http-nio-8080-exec-6] c.t.b.j.c.AuthenticationController       : Cookie cleared
2024-06-26T18:51:27.763+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Executing business logic to filter the request for authentication
2024-06-26T18:51:27.765+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Token : null
2024-06-26T18:51:27.765+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.JwtAuthenticationFilter        : Invoking next filter
2024-06-26T18:51:27.767+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.AuthenticationController       : Authentication endpoint
2024-06-26T18:51:27.767+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to authenticate the user
2024-06-26T18:51:27.870+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to fetch user details of user with username :akarshtkn@gmail.com
2024-06-26T18:51:27.873+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.I.AuthenticationServiceImpl    : Executing business logic to generate token with user details
2024-06-26T18:51:27.873+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token without extra claims
2024-06-26T18:51:27.873+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to generate token
2024-06-26T18:51:27.873+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.s.Implementation.JwtServiceImpl  : Executing business logic to build sign in key
2024-06-26T18:51:27.876+05:30  INFO 9340 --- [http-nio-8080-exec-9] c.t.b.j.c.AuthenticationController       : Executing business logic to set the cookie in response header
